Id,PostCode,PostTown,DependentLocality,DoubleDependentLocality,ThoroughfareDescriptor,DependentThoroughfareDescriptor,BuildingNumber,BuildingName,SubBuildingName,POBox,DepartmentName,OrganisationName,UDPRN,PostcodeType,SUOrganisationIndicator,DeliveryPointSuffix,AddressKey,OrganisationKey,NumberOfHouseholds,LocalityKey
1,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 1,,,,53879040,S, ,1A,38160839,0,1,7775
2,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 2,,,,53879041,S, ,1B,38160840,0,1,7775
3,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 3,,,,53879042,S, ,1D,38160841,0,1,7775
4,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 4,,,,53879043,S, ,1E,38160842,0,1,7775
5,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 5,,,,53879044,S, ,1F,38160843,0,1,7775
6,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 6,,,,53879045,S, ,1G,38160844,0,1,7775
7,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 7,,,,53879046,S, ,1H,38160845,0,1,7775
8,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 8,,,,53879047,S, ,1J,38160846,0,1,7775
9,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 9,,,,53879048,S, ,1L,38160847,0,1,7775
10,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 10,,,,53879049,S, ,1N,38160848,0,1,7775
11,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 11,,,,53879050,S, ,1P,38160849,0,1,7775
12,PL1 1AE,PLYMOUTH,,,Old Town Street,, ,2a,Flat 12,,,,53879051,S, ,1Q,38160850,0,1,7775
